Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,John Bowne High School,25Q425,Kew Gardens Hills,N/A,"Q17, Q20A, Q20B, Q25, Q34, Q44-SBS, Q88"
,John Dewey High School,21K540,Gravesend,D to Bay 50th St; F to Ave X; N to Gravesend  –  86th St,"B1, B4, B64, B82, X28, X38"
,John Jay School for Law (Secondary School for Law),15K462,Park Slope-Gowanus,"F, G to 7th Ave; R to 4th Ave – 9th St","B103, B61, B63, B67, B69"
,Juan Morel Campos Secondary School,14K071,Williamsburg,"G to Broadway; J, M to Hewes St; Z to Marcy Ave","B24, B32, B39, B43, B44, B44-SBS, B46, B48, B57, B60, B62, Q54, Q59"
,Khalil Gibran International Academy,15K592,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Nevins St; A to Hoyt & Schermerhorn; B, D, N, Q, R to Atlantic Ave – Barclays Center; C to Lafayette Ave; F to Jay St-MetroTech; G to Fulton St","B103, B25, B26, B37, B38, B41, B45, B52, B54, B63, B65, B67"
,Kingsborough Early College School,21K468,Gravesend,D to 25th Ave; N to Ave U; N to Gravesend – 86th St,"B1, B3, B4, B6, B64, B82, X28, X38"
,Kingsbridge International High School,10X268,Van Cortlandt Village,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4"
,Knowledge and Power Preparatory Academy International High School (KAPPA),10X374,Belmont,"B, D to Fordham Rd","Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4"
,Kurt Hahn Expeditionary Learning School,18K569,East Flatbush,N/A,"B17, B35, B46, B47, B7, B8"
,Landmark High School,02M419,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28"
,Leadership and Public Service High School,02M425,Lower Manhattan,"1, R to Rector St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5 to Wall St ; 6 to Brooklyn Bridge - City Hall ; E to World Trade Center ; J, Z to Broad St ; N to South Ferry","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9"
,Leadership Institute,09X276,Claremont-Bathgate,N/A,"Bx11, Bx15, Bx17, Bx21, Bx36, Bx40, Bx41, Bx41-SBS, Bx42"
,Leon M. Goldstein High School for the Sciences,22K535,Manhattan Beach,N/A,"B1, B4, B44, B44-SBS, B49, BM3"
