Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,Q67S - Robotics/STEM,Screened,9,Engineering,28,Y,16,Y,N/A: Open to New York City residents,76,80,82,80,2.1,2.3,,Yes
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,Q67V - Medical Careers,Screened,9,Health Professions,21,Y,21,N,N/A: Open to New York City residents,81,80,82,85,2.5,2.7,,Yes
,Queens Vocational and Technical High School,24Q600,Q,Q68B - Graphic Arts,Audition: pre-registration,9,Visual Art & Design,7,Y,11,Y,N/A: Open to New York City residents,Yes,Yes,Yes,Yes,1.9,1.9,,Yes
,Queens Vocational and Technical High School,24Q600,Q,Q68L - Pre-Engineering Electronic Technology,Screened,10,Engineering,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Queens Vocational and Technical High School,24Q600,Q,Q68M - Exploratory: Introduction to Occupations,Ed. Opt.,9,Engineering,9,Y,11,Y,N/A: Open to New York City residents,,,,,,,,
,Queens Vocational and Technical High School,24Q600,Q,Q68N - Computer Technology and Information Systems,Screened,9/10,Computer Science & Technology,18,Y,11,Y,N/A: Open to New York City residents,57,65,65,65,1.9,1.9,,Yes
,Queens Vocational and Technical High School,24Q600,Q,Q68O - Cosmetology,Screened,9/10,Cosmetology,9,Y,7,N,N/A: Open to New York City residents,70,70,75,76,1.9,1.9,,Yes
,Robert F. Kennedy Community High School,25Q670,Q,Q70A - College Head-Start,Ed. Opt.,9/10,Humanities & Interdisciplinary,2,Y,3,Y,100% of offers went to District 25 students or residents,,,,,,,,
,Academy of American Studies,30Q575,Q,Q71A - Academy of American Studies,Ed. Opt.,9/10,Humanities & Interdisciplinary,25,Y,14,Y,98% of offers went to Queens students or residents,,,,,,,Yes,Yes
,Academy of American Studies,30Q575,Q,Q71B - Intensive Academic Humanities,Screened,9/10,Humanities & Interdisciplinary,13,Y,2,N,99% of offers went to Queens students or residents,83,84,83,83,2.8,3.3,Yes,Yes
,Scholars' Academy,27Q323,Q,Q72A - Scholars' Academy,Screened,9,Humanities & Interdisciplinary,9,Y,3,Y,86% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Benjamin Franklin High School for Finance & Information Technology,29Q313,Q,Q73A - Benjamin Franklin High School for Finance & Information Technology,Limited Unscreened,9/10,Computer Science & Technology,3,N,3,N,62% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Bard High School Early College Queens,24Q299,Q,Q74B - Bard High School Early College Queens,Screened,9/10,Humanities & Interdisciplinary,26,Y,3,N,N/A: Open to New York City residents,86,87,87,86,,,,Yes
,Frederick Douglass Academy VI High School,27Q260,Q,Q75X - Frederick Douglass Academy VI High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,3,N,91% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Civic Leadership Academy,24Q293,Q,Q76A - Civic Leadership Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,9,Y,10,Y,84% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,"Queens School of Inquiry, The",25Q252,Q,Q77A - Queens School of Inquiry,Screened,9,Humanities & Interdisciplinary,13,Y,8,Y,46% of offers went to continuing 8th graders,79,81,80,80,2.6,3.2,,Yes
,East-West School of International Studies,25Q281,Q,Q82A - East-West School of International Studies,Ed. Opt.,9/10,Humanities & Interdisciplinary,14,Y,8,Y,N/A: Open to New York City residents,,,,,,,Yes,Yes
,East-West School of International Studies,25Q281,Q,Q82B - East-West School of International Studies for Current Students,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,"High School for Construction Trades, Engineering and Architecture",27Q650,Q,Q83A - Construction Trades & Management,Screened,9/10,Engineering,13,Y,9,Y,N/A: Open to New York City residents,75,75,75,80,,,Yes,Yes
,"High School for Construction Trades, Engineering and Architecture",27Q650,Q,Q83B - Architectural Design,Screened,9/10,Architecture,15,Y,9,Y,N/A: Open to New York City residents,78,78,80,80,,,Yes,Yes
,"High School for Construction Trades, Engineering and Architecture",27Q650,Q,Q83C - Academy of Engineering,Screened,9,Engineering,18,Y,9,Y,N/A: Open to New York City residents,76,78,77,77,,,Yes,Yes
,Preparatory Academy for Writers: A College Board School,29Q283,Q,Q84A - Preparatory Academy for Writers,Limited Unscreened,9/10,Communications,5,Y,5,Y,35% of offers went to continuing 8th graders,,,,,,,Yes,
,World Journalism Preparatory: A College Board School,25Q285,Q,Q85A - World Journalism Preparatory,Limited Unscreened,9,Communications,9,Y,8,Y,81% of offers went to continuing 8th graders,,,,,,,Yes,
,World Journalism Preparatory: A College Board School,25Q285,Q,Q85F - Franklin Center Science and Technology,Limited Unscreened,9,Science & Math,11,Y,9,Y,31% of offers went to continuing 8th graders,,,,,,,Yes,
,"Young Women's Leadership School, Queens (TYWLS)",28Q896,Q,"Q89A - The Young Women's Leadership School, Queens",Screened,9,Humanities & Interdisciplinary,5,Y,3,N,44% of offers went to continuing 8th graders,77,67,68,68,1.8,1.9,,Yes
,Eagle Academy for Young Men III,29Q327,Q,Q92A - Eagle Academy for Young Men III,Limited Unscreened,9/10,Humanities & Interdisciplinary,3,Y,5,Y,39% of offers went to continuing 8th graders,,,,,,,Yes,
,Channel View School for Research,27Q262,Q,Q97X - Channel View School for Research,Limited Unscreened,9,Humanities & Interdisciplinary,7,Y,8,Y,38% of offers went to continuing 8th graders,,,,,,,Yes,
,Newcomers High School,30Q555,Q,Q98A - Newcomers High School,Screened: Language,9,Humanities & Interdisciplinary,3,Y,1,N,100% of offers went to Queens students or residents who have lived in the United States one year or less at the time of admission to high school and require English as a Second Language (ESL) or Bilingual instruction,,,,,,,,
,High School for Arts and Business,24Q550,Q,Q99A - Arts and Business,Ed. Opt.,9/10,Visual Art & Design,11,Y,10,Y,100% of offers went to Queens students or residents,,,,,,,,
,CSI High School for International Studies,31R047,SI,R01R - CSI High School for International Studies,Limited Unscreened,9/10,Humanities & Interdisciplinary,10,Y,4,Y,"89% of offers went to Districts 20, 21 and 31 students or residents who attend an information session",,,,,,,Yes,
,Port Richmond High School,31R445,SI,R10A - The Gateway Scholars Program,Screened,9/10,Science & Math,3,N,1,N,100% of offers went to Staten Island students or residents,75,75,78,78,2.0,2.0,,Yes
,Port Richmond High School,31R445,SI,R10C - Culinary Arts,Ed. Opt.,9,Culinary Arts,2,N,3,Y,99% of offers went to Staten Island students or residents,,,,,,,,Yes
,Port Richmond High School,31R445,SI,R10D - Junior Reserve Officers' Training Corps,Ed. Opt.,9,JROTC,2,N,5,Y,100% of offers went to Staten Island students or residents,,,,,,,,Yes
,Port Richmond High School,31R445,SI,"R10K - Institute of Business Technology, Hospitality & Entrepreneurship",Ed. Opt.,9/10,Business,2,N,2,N,97% of offers went to Staten Island students or residents,,,,,,,,Yes
,Port Richmond High School,31R445,SI,"R10L - The Academy of Television, Visual and Performing Arts",Ed. Opt.,9/10,Communications,6,N,8,Y,98% of offers went to Staten Island students or residents,,,,,,,,Yes
,Port Richmond High School,31R445,SI,R10M - Medical Technology,Ed. Opt.,9,Health Professions,3,N,3,N,98% of offers went to Staten Island students or residents,,,,,,,,Yes
,Port Richmond High School,31R445,SI,R10R - Collegiate Academy Honors Program,Screened,9/10,Humanities & Interdisciplinary,6,N,1,N,100% of offers went to Staten Island students or residents,80,75,75,75,2.1,1.9,,Yes
,Port Richmond High School,31R445,SI,R10Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,The Michael J. Petrides School,31R080,SI,R15J - Comprehensive Academic for New Students,Ed. Opt.,9,Humanities & Interdisciplinary,5,Y,2,N,100% of offers went to Staten Island students or residents,,,,,,,,Yes
,The Michael J. Petrides School,31R080,SI,R15K - Comprehensive Academic for Current Students,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to continuing 8th grade students who apply,,,,,,,,
,Susan E. Wagner High School,31R460,SI,R17A - Academy of Finance,Screened,9,Business,30,Y,10,Y,100% of offers went to Staten Island students or residents,85,85,84,85,2.8,3.1,,Yes
,Susan E. Wagner High School,31R460,SI,R17C - Air Force Junior Reserve Officers' Training Corps,Ed. Opt.,9,JROTC,13,Y,15,Y,100% of offers went to Staten Island students or residents,,,,,,,,
,Susan E. Wagner High School,31R460,SI,R17D - Law & Politics Institute,Screened,9,Law & Government,29,Y,9,N,100% of offers went to Staten Island students or residents,86,N/A,88,N/A,3.0,2.8,,Yes
,Susan E. Wagner High School,31R460,SI,R17F - Scholars’ Academy,Screened,9,Humanities & Interdisciplinary,11,Y,1,N,100% of offers went to Staten Island students or residents,90,90,91,90,3.2,3.5,,Yes
,Susan E. Wagner High School,31R460,SI,R17G - Music,Audition,9,Performing Arts,12,Y,8,N,100% of offers went to Staten Island students or residents,,,,,1.9,1.9,,Yes
,Susan E. Wagner High School,31R460,SI,R17H - Visual Arts,Audition,9,Visual Art & Design,37,Y,28,Y,100% of offers went to Staten Island students or residents,,,,,1.9,1.8,,Yes
,Susan E. Wagner High School,31R460,SI,R17J - Theater,Audition,9,Performing Arts,11,Y,5,Y,100% of offers went to Staten Island students or residents,,,,,1.9,1.9,,Yes
,Susan E. Wagner High School,31R460,SI,R17Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Curtis High School,31R450,SI,R19A - Computer Business Institute,Unscreened,9,Computer Science & Technology,4,N,5,Y,99% of offers went to Staten Island students or residents,,,,,,,,
,Curtis High School,31R450,SI,R19B - Human and Legal Studies,Unscreened,9,Law & Government,4,Y,4,N,97% of offers went to Staten Island students or residents,,,,,,,,
,Curtis High School,31R450,SI,R19C - International Baccalaureate/Scholarship Honors Program,Screened,9/10,Humanities & Interdisciplinary,4,N,N/A,N,100% of offers went to Staten Island students or residents,76,75,75,77,2.3,2.1,,Yes
,Curtis High School,31R450,SI,R19D - Journalism Institute,Unscreened,9,Communications,3,N,2,N,88% of offers went to Staten Island students or residents,,,,,,,,
,Curtis High School,31R450,SI,R19E - Naval Junior Reserve Officers’ Training Corps,Ed. Opt.,9,JROTC,3,N,4,Y,92% of offers went to Staten Island students or residents,,,,,,,,
,Curtis High School,31R450,SI,R19F - Practical Nursing/ Nursing Assistant,Screened,9/10,Health Professions,6,Y,6,Y,100% of offers went to Staten Island students or residents,73,70,66,72,1.9,1.9,,Yes
,Curtis High School,31R450,SI,R19G - Performing Arts,Unscreened,9,Performing Arts,4,N,4,Y,93% of offers went to Staten Island students or residents,,,,,,,,
,Curtis High School,31R450,SI,R19H - School for International Studies/Honors AVID Program,Screened,9,Humanities & Interdisciplinary,2,N,1,N,100% of offers went to Staten Island students or residents,60,65,65,70,1.9,1.9,,Yes
,Curtis High School,31R450,SI,R19J - Visual Arts,Unscreened,9,Visual Art & Design,3,N,5,Y,96% of offers went to Staten Island students or residents,,,,,,,,
,Curtis High School,31R450,SI,R19Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,New Dorp High School,31R440,SI,R20A - Future Teachers' Academy,Ed. Opt.,9/10,Teaching,5,N,3,Y,99% of offers went to Staten Island students or residents,,,,,,,Yes,
,New Dorp High School,31R440,SI,R20C - Law Institute & AFJROTC,Ed. Opt.,9/10,Law & Government,7,Y,7,Y,99% of offers went to Staten Island students or residents,,,,,,,Yes,
,New Dorp High School,31R440,SI,R20E - Corporate Center for Software Engineering & Virtual Enterprise,Ed. Opt.,9,Business,8,Y,7,Y,100% of offers went to Staten Island students or residents,,,,,,,Yes,
,New Dorp High School,31R440,SI,R20F - Institute of Health Sciences,Ed. Opt.,9/10,Health Professions,9,Y,6,Y,99% of offers went to Staten Island students or residents,,,,,,,Yes,
,New Dorp High School,31R440,SI,R20M - Academy of Communication and Media Arts,Ed. Opt.,9,Communications,7,Y,6,Y,100% of offers went to Staten Island students or residents,,,,,,,Yes,
,New Dorp High School,31R440,SI,R20P - Academy of Fine and Dramatic Arts,Ed. Opt.,9,Performing Arts/Visual Art & Design,5,Y,5,Y,100% of offers went to Staten Island students or residents,,,,,,,Yes,
,New Dorp High School,31R440,SI,R20S - Math & Science Institute,Screened,9,Science & Math,8,Y,1,N,100% of offers went to Staten Island students or residents,85,87,N/A,88,2.6,2.9,,Yes
,New Dorp High School,31R440,SI,R20T - Institute of Forensic Science,Ed. Opt.,9,Science & Math,9,Y,6,Y,100% of offers went to Staten Island students or residents,,,,,,,Yes,
,New Dorp High School,31R440,SI,R20Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Tottenville High School,31R455,SI,R30B - Marine Corps Junior Reserve Officers’ Training Corps,Ed. Opt.,9,JROTC,4,Y,5,Y,100% of offers went to Staten Island students or residents,,,,,,,,
,Tottenville High School,31R455,SI,R30C - Classics Institute,Screened,9,Humanities & Interdisciplinary,13,Y,2,N,100% of offers went to Staten Island students or residents,90,90,92,91,3.3,3.3,,Yes
,Tottenville High School,31R455,SI,R30S - Science Institute,Screened,9,Science & Math,17,Y,2,N,100% of offers went to Staten Island students or residents,92,93,94,93,3.3,4.0,,Yes
,Tottenville High School,31R455,SI,R30Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Gaynor McCown Expeditionary Learning School,31R064,SI,R55A - Gaynor McCown Expeditionary Learning School,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,Y,4,Y,100% of offers went to Staten Island students or residents who attend an information session,,,,,,,Yes,
,Ralph R. McKee Career and Technical Education High School,31R600,SI,R60A - Electrical Engineering and Installation Program,Ed. Opt.,9/10,Engineering,4,N,6,Y,N/A: Open to New York City residents,,,,,,,,
,Ralph R. McKee Career and Technical Education High School,31R600,SI,R60B - Software Engineering,Screened,9,Computer Science & Technology,4,Y,5,Y,N/A: Open to New York City residents,65,65,65,65,1.9,1.9,,Yes
,Ralph R. McKee Career and Technical Education High School,31R600,SI,R60H - Computer Systems Networking,Ed. Opt.,9/10,Computer Science & Technology,5,N,7,N,N/A: Open to New York City residents,,,,,,,,
,Ralph R. McKee Career and Technical Education High School,31R600,SI,R60I - Graphic Design,Screened,9/10,Visual Art & Design,3,N,5,N,N/A: Open to New York City residents,55,55,55,60,1.9,1.8,,Yes
,Ralph R. McKee Career and Technical Education High School,31R600,SI,R60K - Architectural Drafting,Ed. Opt.,9/10,Engineering,3,N,5,Y,N/A: Open to New York City residents,,,,,,,,
,Ralph R. McKee Career and Technical Education High School,31R600,SI,R60P - Automotive Technology,Ed. Opt.,9/10,Computer Science & Technology,3,N,5,Y,N/A: Open to New York City residents,,,,,,,,
,Ralph R. McKee Career and Technical Education High School,31R600,SI,R60R - Construction/Carpentry,Ed. Opt.,9/10,Architecture,5,N,7,Y,N/A: Open to New York City residents,,,,,,,,
,High School of Computers and Technology,11X275,BX,X01X - High School of Computers and Technology,Limited Unscreened,9,Computer Science & Technology,11,Y,12,Y,96% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,BX,X02R - Academy for Scholarship and Entrepreneurship,Limited Unscreened,9/10,Business,4,N,4,N,62% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Eximius College Preparatory Academy: A College Board School,09X250,BX,X03R - Eximius College Preparatory Academy: A College Board School,Limited Unscreened,9,Humanities & Interdisciplinary,15,Y,10,Y,22% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Mott Hall Bronx High School,09X252,BX,X04R - Mott Hall Bronx High School,Limited Unscreened,9,Humanities & Interdisciplinary,12,Y,11,Y,43% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Center for Science and Mathematics,09X260,BX,X05R - Bronx Center for Science and Mathematics,Limited Unscreened,9,Science & Math,33,Y,16,Y,94% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Leadership Institute,09X276,BX,X06R - Leadership Institute,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,3,N,59% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Validus Preparatory Academy: An Expeditionary Learning School,09X263,BX,X07R - Validus Preparatory Academy: An Expeditionary Learning School,Limited Unscreened,9,Health Professions,5,Y,5,N,31% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Explorations Academy,12X251,BX,X08R - Explorations Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,4,N,61% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,High School of World Cultures,12X550,BX,X09X - High School of World Cultures,Screened: Language,9/10,Humanities & Interdisciplinary,3,N,2,N,100% of offers went to New York City residents who have lived in the United States one year or less at the time of admission to high school and require an ELL program,,,,,,,,
,DeWitt Clinton High School,10X440,BX,X10A - Medical Professions,Ed. Opt.,9/10,Science & Math,3,N,3,N,98% of offers went to Bronx students or residents,,,,,,,,
,DeWitt Clinton High School,10X440,BX,X10H - Newcomers'-Global Community,Screened: Language,9/10,Humanities & Interdisciplinary,1,N,1,N,100% of offers went to Bronx students or residents,,,,,,,,
,DeWitt Clinton High School,10X440,BX,X10J - Macy Honors Communities,Screened,9/10,Science & Math,4,N,1,N,99% of offers went to Bronx students or residents,70,70,65,69,1.9,1.8,,Yes
,DeWitt Clinton High School,10X440,BX,X10K - STEM,Ed. Opt.,9/10,Science & Math,3,N,3,N,100% of offers went to Bronx students or residents,,,,,,,,
,DeWitt Clinton High School,10X440,BX,X10L - Humanities and the Arts,Ed. Opt.,9/10,Humanities & Interdisciplinary,3,N,3,N,98% of offers went to Bronx students or residents,,,,,,,,
,South Bronx Preparatory: A College Board School,07X221,BX,X11X - South Bronx Preparatory: A College Board School,Limited Unscreened,9,Humanities & Interdisciplinary,15,Y,13,Y,60% of offers went to continuing 8th graders,,,,,,,Yes,
,New Directions Secondary School,09X350,BX,X13A - New Directions Secondary School,Limited Unscreened,9,Humanities & Interdisciplinary,4,N/A,6,N/A,53% of offers went to continuing 8th graders,,,,,,,Yes,
,Hostos-Lincoln Academy of Science,07X500,BX,X14J - Hostos-Lincoln Academy of Science,Screened,9/10,Health Professions,18,Y,11,Y,46% of offers went to continuing 8th graders,75,75,N/A,N/A,2.0,2.0,,Yes
,Herbert H. Lehman High School,08X405,BX,X16A - Academy for Computer Technology,Ed. Opt.,9/10,Computer Science & Technology,10,Y,9,Y,100% of offers went to Bronx students or residents,,,,,,,,
,Herbert H. Lehman High School,08X405,BX,X16B - Anne Hutchinson Academy,Screened,9,Engineering,4,N,2,N,100% of offers went to Bronx students or residents,60,65,66,65,1.8,1.9,,Yes
,Herbert H. Lehman High School,08X405,BX,X16Z - Zoned,Zoned Priority,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Priority to students who apply and live in the zoned area,,,,,,,,
,Astor Collegiate Academy,11X299,BX,X17B - Science & Technology,Limited Unscreened,9/10,Science & Math,8,Y,6,Y,81% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Academy for Software Engineering (BASE),10X264,BX,X18A - Bronx Academy for Software Engineering (BASE),Limited Unscreened,9,Computer Science & Technology,14,Y,16,Y,99% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Collaborative High School,10X351,BX,X19A - Bronx Collaborative High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,7,Y,6,N,27% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Theater Arts Production Company School (TaPCO),10X225,BX,X20B - Jazz Band/Piano,Audition*,9,Performing Arts,2,N,2,N,13% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Theater Arts Production Company School (TaPCO),10X225,BX,X20C - Chorus,Audition*,9,Performing Arts,4,Y,4,N,13% of offers went to continuing 8th graders,55,55,55,55,1.8,1.8,,Yes
,Theater Arts Production Company School (TaPCO),10X225,BX,X20R - Dance,Audition*,9/10,Performing Arts/Visual Art & Design,4,N,4,Y,15% of offers went to continuing 8th graders,67,65,65,65,1.9,1.8,,Yes
,Theater Arts Production Company School (TaPCO),10X225,BX,X20S - Drama,Audition*,9/10,Performing Arts/Visual Art & Design,4,N,4,N,29% of offers went to continuing 8th graders,65,63,55,55,1.9,1.7,,Yes
,Theater Arts Production Company School (TaPCO),10X225,BX,X20T - Visual Arts & Technology,Audition*,9/10,Performing Arts/Visual Art & Design,4,N,4,Y,44% of offers went to continuing 8th graders,55,55,55,55,1.7,1.6,,Yes
,Bronx Academy of Health Careers,11X290,BX,X22A - Bronx Academy of Health Careers,Limited Unscreened,9/10,Health Professions,9,Y,6,Y,27% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx River High School,08X349,BX,X24A - Bronx River High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,9,Y,8,Y,38% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Harry S Truman High School,11X455,BX,X25B - Law and Legal Studies/Law Enforcement Academy,Limited Unscreened,9/10,Law & Government,3,N,3,N,88% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Harry S Truman High School,11X455,BX,X25C - Computer Technology,Ed. Opt.,9/10,Computer Science & Technology,3,N,4,N,98% of offers went to Bronx students or residents,,,,,,,,
,Harry S Truman High School,11X455,BX,X25D - Culinary Arts,Ed. Opt.,9/10,Culinary Arts,4,N,5,Y,97% of offers went to Bronx students or residents,,,,,,,,
,Harry S Truman High School,11X455,BX,X25E - Media Communication and Video Journalism,Limited Unscreened,9/10,Communications,2,N,3,N,94% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Harry S Truman High School,11X455,BX,X25F - Air Force Junior ROTC,Screened,9/10,JROTC,4,N,5,N,98% of offers went to Bronx students or residents,55,55,55,55,1.8,1.6,,Yes
,Harry S Truman High School,11X455,BX,X25H - Pre-Engineering and Applied Mathematics,Screened,9/10,Engineering,4,N,4,N,100% of offers went to Bronx students or residents,60,60,63,58,1.8,1.6,,Yes
,Harry S Truman High School,11X455,BX,X25Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Pelham Lab High School,08X320,BX,X26A - Pelham Lab High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,6,N,5,N,30% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,The Urban Assembly Bronx Academy of Letters,07X551,BX,X27A - Bronx Academy of Letters,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,5,N,46% of offers went to continuing 8th graders,,,,,,,Yes,
,Bronx School of Law and Finance,10X284,BX,X28A - Bronx School of Law and Finance,Limited Unscreened,9/10,Law & Government,6,N,5,N,34% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Collegiate Institute for Math and Science (CIMS),11X288,BX,X29J - Collegiate Institute for Math and Science,Limited Unscreened,9/10,Science & Math,26,Y,13,Y,91% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Aerospace High School,11X545,BX,X30A - Bronx Aerospace High School,Limited Unscreened,9/10,Engineering,3,N,3,N,96% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Urban Assembly School for Careers in Sports,07X548,BX,X31A - Urban Assembly School for Careers in Sports,Limited Unscreened,9/10,Business,11,Y,11,Y,41% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Guild,08X452,BX,X32A - Bronx Guild,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,6,N,95% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,"Celia Cruz Bronx High School of Music, The",10X442,BX,X33A - Concert Band/Piano,Audition*,9/10,Performing Arts,4,N,3,N,N/A: Open to New York City residents,,,,,,,,Yes
,"Celia Cruz Bronx High School of Music, The",10X442,BX,X33B - Chorus,Audition*,9/10,Performing Arts,5,Y,4,N,N/A: Open to New York City residents,,,,,,,,Yes
,"Celia Cruz Bronx High School of Music, The",10X442,BX,X33M - Strings,Audition*,9/10,Performing Arts,4,N,3,N,N/A: Open to New York City residents,,,,,,,,Yes
,High School for Teaching and the Professions,10X433,BX,X34A - Pre-Teaching and Virtual Enterprise,Limited Unscreened,9/10,Teaching,5,N,4,N,32% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx High School for the Visual Arts,11X418,BX,X35A - Visual Art,Limited Unscreened,9/10,Visual Art & Design,14,Y,14,Y,19% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx High School for the Visual Arts,11X418,BX,X35B - Graphic Design,Limited Unscreened,9/10,Visual Art & Design,7,Y,9,Y,24% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx International High School,09X403,BX,X36A - Bronx International High School,Screened: Language,9/10,Humanities & Interdisciplinary,5,N,3,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,"HERO High (Health, Education, and Research Occupations High School)",07X259,BX,"X37A - HERO High (Health, Education, and Research Occupations High School)",Limited Unscreened,9/10,Health Professions,9,Y,8,Y,29% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Theatre High School,10X546,BX,X38A - Theater Design and Technology,Limited Unscreened,9/10,Performing Arts,8,Y,8,Y,21% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Theatre High School,10X546,BX,X38B - Performance and Production,Limited Unscreened,9/10,Performing Arts,7,N,6,N,25% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Discovery High School,10X549,BX,X39A - Discovery High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,7,N,6,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,High School for Violin and Dance,09X543,BX,X41A - Violin and Dance,Limited Unscreened,9,Performing Arts,3,N,3,N,19% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Belmont Preparatory High School,10X434,BX,X42A - College and University Transitional Seminar,Screened,9,Humanities & Interdisciplinary,11,Y,10,Y,100% of offers went to Bronx students or residents,,,,,1.8,1.7,Yes,Yes
,Marble Hill High School for International Studies,10X477,BX,X43A - International Studies,Screened,9/10,Humanities & Interdisciplinary,25,Y,9,N,100% of offers went to Bronx students or residents,,,,,,,Yes,Yes
,Marble Hill High School for International Studies,10X477,BX,X43B - International Academy,Screened: Language,9/10,Humanities & Interdisciplinary,7,Y,2,N,100% of offers went to English Language Learner students living in the United States fewer than 4 years,,,,,,,,
,Mott Haven Village Preparatory High School,07X473,BX,X44X - Mott Haven Village Preparatory High School,Limited Unscreened,9,Humanities & Interdisciplinary,5,N,6,N,3% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Pelham Preparatory Academy,11X542,BX,X45A - Pelham Preparatory Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,32,Y,17,Y,93% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
